duration,singlerun_seasonality,cec,dustsp,dustsp_2nd,dustrate,dustrate_2nd,dustrad,add_secondary,spinrun,imix,include_psd_full,include_psd_bulk,newrun_id,climatedir,climatefiles
15,False,21.10329,gbas,amnt,0.0,15.0,150,False,site_311a_pr9_spintuneup4,1,False,False,midfert_gbas_311a_0p0,NA,site_311a
15,False,21.10329,gbas,amnt,20.0,15.0,150,False,site_311a_pr9_spintuneup4,1,False,False,midfert_gbas_311a_0p2,NA,site_311a
15,False,21.10329,gbas,amnt,40.0,15.0,150,False,site_311a_pr9_spintuneup4,1,False,False,midfert_gbas_311a_0p4,NA,site_311a
15,False,21.10329,gbas,amnt,60.0,15.0,150,False,site_311a_pr9_spintuneup4,1,False,False,midfert_gbas_311a_0p6,NA,site_311a
15,False,21.10329,gbas,amnt,80.0,15.0,150,False,site_311a_pr9_spintuneup4,1,False,False,midfert_gbas_311a_0p8,NA,site_311a
15,False,21.10329,gbas,amnt,100.0,15.0,150,False,site_311a_pr9_spintuneup4,1,False,False,midfert_gbas_311a_1p0,NA,site_311a
15,False,21.10329,gbas,amnt,200.0,15.0,150,False,site_311a_pr9_spintuneup4,1,False,False,midfert_gbas_311a_2p0,NA,site_311a
15,False,21.10329,gbas,amnt,300.0,15.0,150,False,site_311a_pr9_spintuneup4,1,False,False,midfert_gbas_311a_3p0,NA,site_311a
15,False,21.10329,gbas,amnt,700.0,15.0,150,False,site_311a_pr9_spintuneup4,1,False,False,midfert_gbas_311a_10p0,NA,site_311a
15,False,21.10329,gbas,amnt,1200.0,15.0,150,False,site_311a_pr9_spintuneup4,1,False,False,midfert_gbas_311a_20p0,NA,site_311a
15,False,21.10329,gbas,amnt,2000.0,15.0,150,False,site_311a_pr9_spintuneup4,1,False,False,midfert_gbas_311a_30p0,NA,site_311a
15,False,6.96125,gbas,amnt,0.0,15.0,150,False,site_311b_pr9_spintuneup4,1,False,False,midfert_gbas_311b_0p0,NA,site_311b
15,False,6.96125,gbas,amnt,20.0,15.0,150,False,site_311b_pr9_spintuneup4,1,False,False,midfert_gbas_311b_0p2,NA,site_311b
15,False,6.96125,gbas,amnt,40.0,15.0,150,False,site_311b_pr9_spintuneup4,1,False,False,midfert_gbas_311b_0p4,NA,site_311b
15,False,6.96125,gbas,amnt,60.0,15.0,150,False,site_311b_pr9_spintuneup4,1,False,False,midfert_gbas_311b_0p6,NA,site_311b
15,False,6.96125,gbas,amnt,80.0,15.0,150,False,site_311b_pr9_spintuneup4,1,False,False,midfert_gbas_311b_0p8,NA,site_311b
15,False,6.96125,gbas,amnt,100.0,15.0,150,False,site_311b_pr9_spintuneup4,1,False,False,midfert_gbas_311b_1p0,NA,site_311b
15,False,6.96125,gbas,amnt,200.0,15.0,150,False,site_311b_pr9_spintuneup4,1,False,False,midfert_gbas_311b_2p0,NA,site_311b
15,False,6.96125,gbas,amnt,300.0,15.0,150,False,site_311b_pr9_spintuneup4,1,False,False,midfert_gbas_311b_3p0,NA,site_311b
15,False,6.96125,gbas,amnt,700.0,15.0,150,False,site_311b_pr9_spintuneup4,1,False,False,midfert_gbas_311b_10p0,NA,site_311b
15,False,6.96125,gbas,amnt,1200.0,15.0,150,False,site_311b_pr9_spintuneup4,1,False,False,midfert_gbas_311b_20p0,NA,site_311b
15,False,6.96125,gbas,amnt,2000.0,15.0,150,False,site_311b_pr9_spintuneup4,1,False,False,midfert_gbas_311b_30p0,NA,site_311b
